ID	SampleName	SamplingDate	Continent	Country	Location	lineage	ambiguity_score	pangoLEARN_version	pango_version	tardis_location
MN908947.3	MN908947.3	2019-12-24	Asia	China	Wuhan	B	0.992650334075724	2021-11-25	v1.2.101	Global
hCoV-19/USA/FL-BPHL-0494/2020|EPI_ISL_495400|2020-03-25|NorthAmerica	EPI_ISL_495400	2020-03-25	NorthAmerica	USA	FL	B.1.1	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0438/2020|EPI_ISL_495344|2020-03-23|NorthAmerica	EPI_ISL_495344	2020-03-23	NorthAmerica	USA	FL	B.1.1	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL_5125/2020|EPI_ISL_419559|2020-02-28|NorthAmerica	EPI_ISL_419559	2020-02-28	NorthAmerica	USA	Unknown	B.1.1	0.992650334075724	2021-11-25	v1.2.101	Global
hCoV-19/USA/FL-BPHL-0578/2020|EPI_ISL_508782|2020-03-21|NorthAmerica	EPI_ISL_508782	2020-03-21	NorthAmerica	USA	FL	B.1.1	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0577/2020|EPI_ISL_508781|2020-03-21|NorthAmerica	EPI_ISL_508781	2020-03-21	NorthAmerica	USA	FL	B.1.1	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-2123/2020|EPI_ISL_653276|2020-03-13|NorthAmerica	EPI_ISL_653276	2020-03-13	NorthAmerica	USA	FL	B.1.1	0.988595706618962	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-CDC-6318/2020|EPI_ISL_452110|2020-03-09|NorthAmerica	EPI_ISL_452110	2020-03-09	NorthAmerica	USA	FL	B.1.1	0.992425930051236	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0675/2020|EPI_ISL_509733|2020-03-15|NorthAmerica	EPI_ISL_509733	2020-03-15	NorthAmerica	USA	FL	B.1.1	0.99017637865595	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-QDX-1658/2020|EPI_ISL_603941|2020-03-18|NorthAmerica	EPI_ISL_603941	2020-03-18	NorthAmerica	USA	FL	B.1.1.67	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0698/2020|EPI_ISL_509756|2020-03-29|NorthAmerica	EPI_ISL_509756	2020-03-29	NorthAmerica	USA	FL	B.1.1	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0668/2020|EPI_ISL_509726|2020-03-13|NorthAmerica	EPI_ISL_509726	2020-03-13	NorthAmerica	USA	FL	C.36	0.992650334075724	2021-11-25	v1.2.101	FL
