cluster_id,ID,DATE,field,trait,birth_origin
c1,hCoV-19/USA/FL-BPHL-2066/2020|EPI_ISL_653219|2020-06-29|NorthAmerica,2020-06-29,SampleName,EPI_ISL_653219,NA
c1,hCoV-19/USA/FL-BPHL-2066/2020|EPI_ISL_653219|2020-06-29|NorthAmerica,2020-06-29,Continent,NorthAmerica,NA
c1,hCoV-19/USA/FL-BPHL-2066/2020|EPI_ISL_653219|2020-06-29|NorthAmerica,2020-06-29,Country,USA,NA
c1,hCoV-19/USA/FL-BPHL-2066/2020|EPI_ISL_653219|2020-06-29|NorthAmerica,2020-06-29,Location,FL,NA
c1,hCoV-19/USA/FL-BPHL-2066/2020|EPI_ISL_653219|2020-06-29|NorthAmerica,2020-06-29,lineage,B.1.437,NA
c1,hCoV-19/USA/FL-BPHL-2066/2020|EPI_ISL_653219|2020-06-29|NorthAmerica,2020-06-29,ambiguity_score,0.989047831917747,NA
c1,hCoV-19/USA/FL-BPHL-2066/2020|EPI_ISL_653219|2020-06-29|NorthAmerica,2020-06-29,pangoLEARN_version,2021-11-25,NA
c1,hCoV-19/USA/FL-BPHL-2066/2020|EPI_ISL_653219|2020-06-29|NorthAmerica,2020-06-29,pango_version,v1.2.101,NA
c1,hCoV-19/USA/FL-BPHL-2066/2020|EPI_ISL_653219|2020-06-29|NorthAmerica,2020-06-29,tardis_location,FL,NA
c1,hCoV-19/USA/FL-BPHL-2047/2020|EPI_ISL_653200|2020-06-23|NorthAmerica,2020-06-23,SampleName,EPI_ISL_653200,NA
c1,hCoV-19/USA/FL-BPHL-2047/2020|EPI_ISL_653200|2020-06-23|NorthAmerica,2020-06-23,Continent,NorthAmerica,NA
c1,hCoV-19/USA/FL-BPHL-2047/2020|EPI_ISL_653200|2020-06-23|NorthAmerica,2020-06-23,Country,USA,NA
c1,hCoV-19/USA/FL-BPHL-2047/2020|EPI_ISL_653200|2020-06-23|NorthAmerica,2020-06-23,Location,FL,NA
c1,hCoV-19/USA/FL-BPHL-2047/2020|EPI_ISL_653200|2020-06-23|NorthAmerica,2020-06-23,lineage,B.1.437,NA
c1,hCoV-19/USA/FL-BPHL-2047/2020|EPI_ISL_653200|2020-06-23|NorthAmerica,2020-06-23,ambiguity_score,0.992650334075724,NA
c1,hCoV-19/USA/FL-BPHL-2047/2020|EPI_ISL_653200|2020-06-23|NorthAmerica,2020-06-23,pangoLEARN_version,2021-11-25,NA
c1,hCoV-19/USA/FL-BPHL-2047/2020|EPI_ISL_653200|2020-06-23|NorthAmerica,2020-06-23,pango_version,v1.2.101,NA
c1,hCoV-19/USA/FL-BPHL-2047/2020|EPI_ISL_653200|2020-06-23|NorthAmerica,2020-06-23,tardis_location,FL,NA
c1,hCoV-19/USA/FL-BPHL-2051/2020|EPI_ISL_653204|2020-06-29|NorthAmerica,2020-06-29,SampleName,EPI_ISL_653204,NA
c1,hCoV-19/USA/FL-BPHL-2051/2020|EPI_ISL_653204|2020-06-29|NorthAmerica,2020-06-29,Continent,NorthAmerica,NA
c1,hCoV-19/USA/FL-BPHL-2051/2020|EPI_ISL_653204|2020-06-29|NorthAmerica,2020-06-29,Country,USA,NA
c1,hCoV-19/USA/FL-BPHL-2051/2020|EPI_ISL_653204|2020-06-29|NorthAmerica,2020-06-29,Location,FL,NA
c1,hCoV-19/USA/FL-BPHL-2051/2020|EPI_ISL_653204|2020-06-29|NorthAmerica,2020-06-29,lineage,B.1.437,NA
c1,hCoV-19/USA/FL-BPHL-2051/2020|EPI_ISL_653204|2020-06-29|NorthAmerica,2020-06-29,ambiguity_score,0.992650334075724,NA
c1,hCoV-19/USA/FL-BPHL-2051/2020|EPI_ISL_653204|2020-06-29|NorthAmerica,2020-06-29,pangoLEARN_version,2021-11-25,NA
c1,hCoV-19/USA/FL-BPHL-2051/2020|EPI_ISL_653204|2020-06-29|NorthAmerica,2020-06-29,pango_version,v1.2.101,NA
c1,hCoV-19/USA/FL-BPHL-2051/2020|EPI_ISL_653204|2020-06-29|NorthAmerica,2020-06-29,tardis_location,FL,NA
c1,hCoV-19/USA/FL-BPHL-2050/2020|EPI_ISL_653203|2020-06-29|NorthAmerica,2020-06-29,SampleName,EPI_ISL_653203,NA
c1,hCoV-19/USA/FL-BPHL-2050/2020|EPI_ISL_653203|2020-06-29|NorthAmerica,2020-06-29,Continent,NorthAmerica,NA
c1,hCoV-19/USA/FL-BPHL-2050/2020|EPI_ISL_653203|2020-06-29|NorthAmerica,2020-06-29,Country,USA,NA
c1,hCoV-19/USA/FL-BPHL-2050/2020|EPI_ISL_653203|2020-06-29|NorthAmerica,2020-06-29,Location,FL,NA
c1,hCoV-19/USA/FL-BPHL-2050/2020|EPI_ISL_653203|2020-06-29|NorthAmerica,2020-06-29,lineage,B.1.437,NA
c1,hCoV-19/USA/FL-BPHL-2050/2020|EPI_ISL_653203|2020-06-29|NorthAmerica,2020-06-29,ambiguity_score,0.992650334075724,NA
c1,hCoV-19/USA/FL-BPHL-2050/2020|EPI_ISL_653203|2020-06-29|NorthAmerica,2020-06-29,pangoLEARN_version,2021-11-25,NA
c1,hCoV-19/USA/FL-BPHL-2050/2020|EPI_ISL_653203|2020-06-29|NorthAmerica,2020-06-29,pango_version,v1.2.101,NA
c1,hCoV-19/USA/FL-BPHL-2050/2020|EPI_ISL_653203|2020-06-29|NorthAmerica,2020-06-29,tardis_location,FL,NA
c1,hCoV-19/USA/FL-BPHL-2065/2020|EPI_ISL_653218|2020-06-24|NorthAmerica,2020-06-24,SampleName,EPI_ISL_653218,NA
c1,hCoV-19/USA/FL-BPHL-2065/2020|EPI_ISL_653218|2020-06-24|NorthAmerica,2020-06-24,Continent,NorthAmerica,NA
c1,hCoV-19/USA/FL-BPHL-2065/2020|EPI_ISL_653218|2020-06-24|NorthAmerica,2020-06-24,Country,USA,NA
c1,hCoV-19/USA/FL-BPHL-2065/2020|EPI_ISL_653218|2020-06-24|NorthAmerica,2020-06-24,Location,FL,NA
c1,hCoV-19/USA/FL-BPHL-2065/2020|EPI_ISL_653218|2020-06-24|NorthAmerica,2020-06-24,lineage,B.1.437,NA
c1,hCoV-19/USA/FL-BPHL-2065/2020|EPI_ISL_653218|2020-06-24|NorthAmerica,2020-06-24,ambiguity_score,0.992650334075724,NA
c1,hCoV-19/USA/FL-BPHL-2065/2020|EPI_ISL_653218|2020-06-24|NorthAmerica,2020-06-24,pangoLEARN_version,2021-11-25,NA
c1,hCoV-19/USA/FL-BPHL-2065/2020|EPI_ISL_653218|2020-06-24|NorthAmerica,2020-06-24,pango_version,v1.2.101,NA
c1,hCoV-19/USA/FL-BPHL-2065/2020|EPI_ISL_653218|2020-06-24|NorthAmerica,2020-06-24,tardis_location,FL,NA
c1,hCoV-19/USA/FL-BPHL-2053/2020|EPI_ISL_653206|2020-06-27|NorthAmerica,2020-06-27,SampleName,EPI_ISL_653206,NA
c1,hCoV-19/USA/FL-BPHL-2053/2020|EPI_ISL_653206|2020-06-27|NorthAmerica,2020-06-27,Continent,NorthAmerica,NA
c1,hCoV-19/USA/FL-BPHL-2053/2020|EPI_ISL_653206|2020-06-27|NorthAmerica,2020-06-27,Country,USA,NA
c1,hCoV-19/USA/FL-BPHL-2053/2020|EPI_ISL_653206|2020-06-27|NorthAmerica,2020-06-27,Location,FL,NA
c1,hCoV-19/USA/FL-BPHL-2053/2020|EPI_ISL_653206|2020-06-27|NorthAmerica,2020-06-27,lineage,B.1.437,NA
c1,hCoV-19/USA/FL-BPHL-2053/2020|EPI_ISL_653206|2020-06-27|NorthAmerica,2020-06-27,ambiguity_score,0.992650334075724,NA
c1,hCoV-19/USA/FL-BPHL-2053/2020|EPI_ISL_653206|2020-06-27|NorthAmerica,2020-06-27,pangoLEARN_version,2021-11-25,NA
c1,hCoV-19/USA/FL-BPHL-2053/2020|EPI_ISL_653206|2020-06-27|NorthAmerica,2020-06-27,pango_version,v1.2.101,NA
c1,hCoV-19/USA/FL-BPHL-2053/2020|EPI_ISL_653206|2020-06-27|NorthAmerica,2020-06-27,tardis_location,FL,NA
Background,hCoV-19/USA/FL-BPHL-0355/2020|EPI_ISL_489764|2020-04-12|NorthAmerica,2020-04-12,SampleName,EPI_ISL_489764,NA
Background,hCoV-19/USA/FL-BPHL-0355/2020|EPI_ISL_489764|2020-04-12|NorthAmerica,2020-04-12,Continent,NorthAmerica,NA
Background,hCoV-19/USA/FL-BPHL-0355/2020|EPI_ISL_489764|2020-04-12|NorthAmerica,2020-04-12,Country,USA,NA
Background,hCoV-19/USA/FL-BPHL-0355/2020|EPI_ISL_489764|2020-04-12|NorthAmerica,2020-04-12,Location,FL,NA
Background,hCoV-19/USA/FL-BPHL-0355/2020|EPI_ISL_489764|2020-04-12|NorthAmerica,2020-04-12,lineage,B.28,NA
Background,hCoV-19/USA/FL-BPHL-0355/2020|EPI_ISL_489764|2020-04-12|NorthAmerica,2020-04-12,ambiguity_score,NA,NA
Background,hCoV-19/USA/FL-BPHL-0355/2020|EPI_ISL_489764|2020-04-12|NorthAmerica,2020-04-12,pangoLEARN_version,2021-11-25,NA
Background,hCoV-19/USA/FL-BPHL-0355/2020|EPI_ISL_489764|2020-04-12|NorthAmerica,2020-04-12,pango_version,v1.2.101,NA
Background,hCoV-19/USA/FL-BPHL-0355/2020|EPI_ISL_489764|2020-04-12|NorthAmerica,2020-04-12,tardis_location,FL,NA
Background,hCoV-19/USA/FL-USAFSAM-S018/2020|EPI_ISL_512792|2020-03-27|NorthAmerica,2020-03-27,SampleName,EPI_ISL_512792,NA
Background,hCoV-19/USA/FL-USAFSAM-S018/2020|EPI_ISL_512792|2020-03-27|NorthAmerica,2020-03-27,Continent,NorthAmerica,NA
Background,hCoV-19/USA/FL-USAFSAM-S018/2020|EPI_ISL_512792|2020-03-27|NorthAmerica,2020-03-27,Country,USA,NA
